"Year","Value"
1979,83.0971529335594
1980,88.9205457698647
1981,83.0376463012888
1982,88.2319328669264
1983,88.3652181201211
1984,84.31837207713
1985,67.4587263967587
1986,87.8495889600856
1987,109.277729744383
1988,74.3298484004689
1989,92.7125545797506
1990,88.9011148988519
1991,104.366752985192
1992,99.8788660409571
1993,93.309243830255
1994,79.3948982589875
1995,77.9879724259118
1996,89.6918075901753
1997,95.8336970791934
1998,90.3807476172134
1999,79.5887352807093
2000,63.2792023762053
2001,75.7838033276574
2002,93.6861618794278
2003,87.7149630613587
2004,86.6743098102835
2005,88.406023574259
2006,81.2979371425689
2007,60.6485713119126
2008,66.1696996793754
2009,90.4136809873286
2010,68.8311658323023
2011,90.3278302293358
2012,85.773456452107
2013,75.7720983831626
2014,82.4649686947685
2015,100.237840929981
2016,96.9023505859943
2017,108.930733985334
2018,156.377423131319
2019,149.530883820503
